IF1206 	20120612 	1 	1 	国泰君安 	1301 	-552 	0001 	IF 	
IF1206 	20120612 	2 	1 	华泰长城 	2303 	-348 	0011 	IF 	
IF1206 	20120612 	0 	2 	华泰长城 	47245 	-5887 	0011 	IF 	
IF1206 	20120612 	1 	2 	银河期货 	1287 	-443 	0109 	IF 	
IF1206 	20120612 	2 	2 	国泰君安 	1668 	-1037 	0001 	IF 	
IF1206 	20120612 	0 	3 	国泰君安 	39033 	-15470 	0001 	IF 	
IF1206 	20120612 	1 	3 	上海东证 	1255 	-28 	0156 	IF 	
IF1206 	20120612 	2 	3 	中证期货 	1514 	-709 	0018 	IF 	
IF1206 	20120612 	0 	4 	广发期货 	33915 	-12417 	0016 	IF 	
IF1206 	20120612 	1 	4 	广发期货 	1236 	-305 	0016 	IF 	
IF1206 	20120612 	2 	4 	光大期货 	1227 	-695 	0007 	IF 	
IF1206 	20120612 	0 	5 	兴业期货 	31560 	-11213 	0102 	IF 	
IF1206 	20120612 	1 	5 	中证期货 	1109 	-365 	0018 	IF 	
IF1206 	20120612 	2 	5 	大华期货 	1023 	388 	0145 	IF 	
IF1206 	20120612 	0 	6 	鲁证期货 	20749 	-7900 	0006 	IF 	
IF1206 	20120612 	1 	6 	光大期货 	1037 	-255 	0007 	IF 	
IF1206 	20120612 	2 	6 	申银万国 	1001 	-961 	0131 	IF 	
IF1206 	20120612 	0 	7 	申银万国 	18405 	-6157 	0131 	IF 	
IF1206 	20120612 	1 	7 	华泰长城 	1025 	-695 	0011 	IF 	
IF1206 	20120612 	2 	7 	海通期货 	893 	-446 	0133 	IF 	
IF1206 	20120612 	0 	8 	中证期货 	17214 	-2270 	0018 	IF 	
IF1206 	20120612 	1 	8 	鲁证期货 	966 	-194 	0006 	IF 	
IF1206 	20120612 	2 	8 	广发期货 	888 	-150 	0016 	IF 	
IF1206 	20120612 	0 	9 	天琪期货 	17111 	-1146 	0168 	IF 	
IF1206 	20120612 	1 	9 	南华期货 	811 	-305 	0002 	IF 	
IF1206 	20120612 	2 	9 	国信期货 	887 	-214 	0113 	IF 	
IF1206 	20120612 	0 	10 	南华期货 	16824 	-2801 	0002 	IF 	
IF1206 	20120612 	1 	10 	海通期货 	783 	-521 	0133 	IF 	
IF1206 	20120612 	2 	10 	金瑞期货 	628 	-42 	0019 	IF 	
IF1206 	20120612 	0 	11 	光大期货 	15490 	-3067 	0007 	IF 	
IF1206 	20120612 	1 	11 	金瑞期货 	589 	99 	0019 	IF 	
IF1206 	20120612 	2 	11 	银河期货 	619 	-98 	0109 	IF 	
IF1206 	20120612 	0 	12 	银河期货 	15237 	-3286 	0109 	IF 	
IF1206 	20120612 	1 	12 	浙江永安 	583 	-43 	0003 	IF 	
IF1206 	20120612 	2 	12 	信达期货 	541 	66 	0017 	IF 	
IF1206 	20120612 	0 	13 	上海东证 	13549 	-2141 	0156 	IF 	
IF1206 	20120612 	1 	13 	长江期货 	550 	-51 	0116 	IF 	
IF1206 	20120612 	2 	13 	鲁证期货 	531 	-253 	0006 	IF 	
IF1206 	20120612 	0 	14 	大华期货 	12291 	-1511 	0145 	IF 	
IF1206 	20120612 	1 	14 	浙商期货 	539 	-97 	0009 	IF 	
IF1206 	20120612 	2 	14 	招商期货 	521 	-165 	0136 	IF 	
IF1206 	20120612 	0 	15 	渤海期货 	12035 	-3039 	0126 	IF 	
IF1206 	20120612 	1 	15 	申银万国 	491 	-682 	0131 	IF 	
IF1206 	20120612 	2 	15 	中信建投 	513 	-131 	0115 	IF 	
IF1206 	20120612 	0 	16 	浙江永安 	11270 	-1222 	0003 	IF 	
IF1206 	20120612 	1 	16 	格林期货 	487 	-126 	0106 	IF 	
IF1206 	20120612 	2 	16 	上海东证 	506 	27 	0156 	IF 	
IF1206 	20120612 	0 	17 	浙商期货 	11183 	-2320 	0009 	IF 	
IF1206 	20120612 	1 	17 	国信期货 	468 	-155 	0113 	IF 	
IF1206 	20120612 	2 	17 	浙商期货 	419 	-202 	0009 	IF 	
IF1206 	20120612 	0 	18 	瑞达期货 	9313 	-6347 	0170 	IF 	
IF1206 	20120612 	1 	18 	信达期货 	375 	16 	0017 	IF 	
IF1206 	20120612 	2 	18 	兴业期货 	409 	-19 	0102 	IF 	
IF1206 	20120612 	0 	19 	招商期货 	9053 	-2674 	0136 	IF 	
IF1206 	20120612 	1 	19 	江苏弘业 	373 	-24 	0128 	IF 	
IF1206 	20120612 	2 	19 	天琪期货 	364 	-55 	0168 	IF 	
IF1206 	20120612 	0 	20 	中信建投 	8878 	-1517 	0115 	IF 	
IF1206 	20120612 	1 	20 	瑞达期货 	353 	-83 	0170 	IF 	
IF1206 	20120612 	2 	20 	南华期货 	350 	-453 	0002 	IF 	
